Actors,Comment,CountryOrRegion,Direction,Last,MovieTypes,OriginalTitle,Rank,Score,ScreenWriter,Title,Url,Votes,Year
让·雷诺 娜塔莉·波特曼 加里·奥德曼 丹尼·爱罗 彼得·阿佩尔 迈克尔·巴达鲁科 艾伦·格里尼 伊丽莎白·瑞根 卡尔·马图斯维奇 弗兰克·赛格 麦温 乔治·马丁 罗伯特·拉萨多 亚当·布斯奇 马里奥·托迪斯科 萨米·纳塞利,怪蜀黍和小萝莉不得不说的故事。,法国,吕克·贝松,110,剧情 动作 犯罪,Léon,3,9.4,吕克·贝松,这个杀手不太冷,https://movie.douban.com/subject/1295644/,842334,1994
张国荣 张丰毅 巩俐 葛优 英达 蒋雯丽 吴大维 吕齐 雷汉 尹治 马明威 费振翔 智一桐 李春 赵海龙 李丹 童弟 沈慧芬 黄斐,风华绝代。,中国大陆   香港,陈凯歌,171,剧情 爱情 同性,,2,9.5,芦苇 李碧华,霸王别姬,https://movie.douban.com/subject/1291546/,634433,1993
蒂姆·罗宾斯 摩根·弗里曼 鲍勃·冈顿 威廉姆·赛德勒 克兰西·布朗 吉尔·贝罗斯 马克·罗斯顿 詹姆斯·惠特摩 杰弗里·德曼 拉里·布兰登伯格 尼尔·吉恩托利 布赖恩·利比 大卫·普罗瓦尔 约瑟夫·劳格诺 祖德·塞克利拉,希望让人自由。,美国,弗兰克·德拉邦特,142,剧情 犯罪,The Shawshank Redemption,1,9.6,弗兰克·德拉邦特 斯蒂芬·金,肖申克的救赎,https://movie.douban.com/subject/1292052/,882017,1994
托马斯·米切尔 芭芭拉·欧内尔 费雯·丽 伊夫林·凯耶斯 安·卢瑟福德 乔治·里弗斯 弗莱德·克莱恩 海蒂·麦克丹尼尔斯 奥斯卡·波尔克 巴特弗莱·麦昆 维克托·乔里 埃弗雷特·布朗 霍华德·C·希克曼 艾丽西亚·瑞特 莱斯利·霍华德 奥利维娅·德·哈维兰 兰德·布鲁克斯 卡洛尔·奈 克拉克·盖博 劳拉·霍普·克鲁斯 埃迪·安德森 哈里·达文波特 利昂娜·罗伯特 简·达威尔 欧娜·满森 保罗·赫斯特 伊莎贝尔·朱尔 卡米·金·肯伦 艾瑞克·林登 J·M·克里根 沃德·邦德 莉莲·肯布尔-库珀,Tomorrow is another day.,美国,维克多·弗莱明 乔治·库克 山姆·伍德,238,剧情 爱情 历史 战争,Gone with the Wind,19,9.2,玛格丽特·米歇尔 西德尼·霍华德 奥利弗·H·P·加勒特 本·赫克特 乔·斯沃林 约翰·范·德鲁登,乱世佳人,https://movie.douban.com/subject/1300267/,273150,1939
金·凯瑞 劳拉·琳妮 艾德·哈里斯 诺亚·艾默里奇 娜塔莎· 麦克艾霍恩,如果再也不能见到你，祝你早安，午安，晚安。,美国,彼得·威尔,103,剧情 科幻,The Truman Show,18,9.1,安德鲁·尼科尔,楚门的世界,https://movie.douban.com/subject/1292064/,459287,1998
马龙·白兰度 阿尔·帕西诺 詹姆斯·肯恩 理查德·卡斯特尔诺 罗伯特·杜瓦尔 斯特林·海登 约翰·马利 理查德·康特 艾尔·勒提埃里 黛安·基顿 阿贝·维高达 塔莉娅·夏尔 吉亚尼·罗素 约翰·凯泽尔 鲁迪·邦德,千万不要记恨你的对手，这样会让你失去理智。,美国,弗朗西斯·福特·科波拉,175,剧情 犯罪,The Godfather,17,9.2,马里奥·普佐 弗朗西斯·福特·科波拉,教父,https://movie.douban.com/subject/1291841/,346416,1972
日高法子 坂本千夏 糸井重里 岛本须美 北林谷荣 高木均 雨笠利幸 丸山裕子 广濑正志 鹫尾真知子 铃木玲子 千叶繁 龙田直树 鳕子 西村朋纮 石田光子 神代知衣 中村大树 水谷优子 平松晶子 大谷育江,人人心中都有个龙猫，童年就永远不会消失。,日本,宫崎骏,86,动画 家庭 儿童 奇幻,となりのトトロ,16,9.1,宫崎骏,龙猫,https://movie.douban.com/subject/1291560/,422062,1988
周星驰 吴孟达 朱茵 蔡少芬 蓝洁瑛 莫文蔚 罗家英 刘镇伟 陆树铭 李健仁,一生所爱。,香港   中国大陆,刘镇伟,95,喜剧 动作 爱情 奇幻 冒险,西遊記大結局之仙履奇緣,15,9.2,刘镇伟 吴承恩,大话西游之大圣娶亲,https://movie.douban.com/subject/1292213/,492556,1995
热拉尔·朱尼奥 让-巴蒂斯特·莫尼耶 弗朗索瓦·贝莱昂 凯德·麦拉德 玛丽·布奈尔 马科森斯·珀林 让-保罗·博奈雷 格雷戈里·加迪诺尔 托马斯·布伦门塔尔 Cyril Bernicot Simon Fargeot Théodule Carré-Cassaigne Philippe du Janerand 卡罗尔·韦斯 Erick Desmarestz,天籁一般的童声，是最接近上帝的存在。 ,法国   瑞士   德国,克里斯托夫·巴拉蒂,97,剧情 音乐,Les choristes,14,9.2,Georges Chaperot 勒·惠勒,放牛班的春天,https://movie.douban.com/subject/1291549/,456353,2004
理查·基尔 萨拉·罗默尔 琼·艾伦 罗比·萨布莱特 艾瑞克·阿瓦利 田川洋行 杰森·亚历山大 罗伯特·卡普荣,永远都不能忘记你所爱的人。,美国   英国,拉斯·霍尔斯道姆,93,剧情,Hachi: A Dog's Tale,13,9.2,斯蒂芬·P·林赛 新藤兼人,忠犬八公的故事,https://movie.douban.com/subject/3011091/,459866,2009
阿米尔·汗 卡琳娜·卡普尔 马达范 沙尔曼·乔希 奥米·瓦依达 博曼·伊拉尼 莫娜·辛格 拉杰夫·拉宾德拉纳特安,英俊版憨豆，高情商版谢耳朵。,印度,拉吉库马尔·希拉尼,171,剧情 喜剧 爱情 歌舞,3 Idiots,12,9.1,维德胡·维诺德·乔普拉 拉吉库马尔·希拉尼 阿西奇·乔希,三傻大闹宝莱坞,https://movie.douban.com/subject/3793023/,679380,2009
泰隆·鲍华 玛琳·黛德丽 查尔斯·劳顿 爱尔莎·兰切斯特 约翰·威廉姆斯 亨利·丹尼尔 伊安·沃尔夫 托林·撒切尔 诺玛·威登,比利·怀德满分作品。,美国,比利·怀尔德,116,剧情 悬疑 犯罪,Witness for the Prosecution,50,9.6,阿加莎·克里斯蒂 比利·怀尔德 哈里·库尼兹,控方证人,https://movie.douban.com/subject/1296141/,86241,1957
罗宾·威廉姆斯 罗伯特·肖恩·莱纳德 伊桑·霍克 乔西·查尔斯 盖尔·汉森 迪伦·库斯曼 阿勒隆·鲁杰罗 詹姆斯·沃特斯顿 诺曼·劳埃德 柯特伍德·史密斯 卡拉·贝尔韦尔 利昂·波纳尔 乔治·马丁 乔·奥菲耶里 马特·凯里,当一个死水般的体制内出现一个活跃的变数时，所有的腐臭都站在了光明的对面。,美国,彼得·威尔,128,剧情,Dead Poets Society,49,8.9,汤姆·舒尔曼,死亡诗社,https://movie.douban.com/subject/1291548/,276646,1989
